OBJECTID,TRACT_FIPS,ASTHMA_ADJRATE,ASTHMA_L95CI,ASTHMA_U95CI,ASTHMA_STATEADJRATE,ASTHMA_SL95CI,ASTHMA_SU95CI,TRACT_NAME,COUNTY_NAME,ASTHMA_DISPLAY
916,08031000701,1196.33,1033.03,1359.64,630.47,627.45,633.48,"Census Tract 7.01, Denver County, Colorado",DENVER,Higher Than State Average
917,08031000502,770.37,667.86,872.89,630.47,627.45,633.48,"Census Tract 5.02, Denver County, Colorado",DENVER,Higher Than State Average
918,08031000303,503.5,390.46,616.54,630.47,627.45,633.48,"Census Tract 3.03, Denver County, Colorado",DENVER,Lower Than State Average
919,08031980100,,,,630.47,627.45,633.48,"Census Tract 9801, Denver County, Colorado",DENVER,No Events or Data Suppressed
920,08031015500,1097.08,836.22,1357.94,630.47,627.45,633.48,"Census Tract 155, Denver County, Colorado",DENVER,Higher Than State Average
921,08031000501,552.58,342.19,762.98,630.47,627.45,633.48,"Census Tract 5.01, Denver County, Colorado",DENVER,Not Different Than State Average
922,08031000302,473.5,365.71,581.29,630.47,627.45,633.48,"Census Tract 3.02, Denver County, Colorado",DENVER,Lower Than State Average
923,08031000202,1070.4,921.04,1219.75,630.47,627.45,633.48,"Census Tract 2.02, Denver County, Colorado",DENVER,Higher Than State Average
924,08031000102,689.18,511.26,867.11,630.47,627.45,633.48,"Census Tract 1.02, Denver County, Colorado",DENVER,Not Different Than State Average
925,08031000201,915.14,777.46,1052.81,630.47,627.45,633.48,"Census Tract 2.01, Denver County, Colorado",DENVER,Higher Than State Average
926,08031004405,713.73,625.89,801.58,630.47,627.45,633.48,"Census Tract 44.05, Denver County, Colorado",DENVER,Not Different Than State Average
927,08031004106,344.95,280.83,409.06,630.47,627.45,633.48,"Census Tract 41.06, Denver County, Colorado",DENVER,Lower Than State Average
928,08031015600,949.04,812.99,1085.08,630.47,627.45,633.48,"Census Tract 156, Denver County, Colorado",DENVER,Higher Than State Average
929,08031015400,798.8,663.59,934,630.47,627.45,633.48,"Census Tract 154, Denver County, Colorado",DENVER,Higher Than State Average
930,08031008390,1007.57,850.54,1164.6,630.47,627.45,633.48,"Census Tract 83.90, Denver County, Colorado",DENVER,Higher Than State Average
931,08031008391,850.29,624.58,1076,630.47,627.45,633.48,"Census Tract 83.91, Denver County, Colorado",DENVER,Not Different Than State Average
932,08031000301,648.9,548.95,748.85,630.47,627.45,633.48,"Census Tract 3.01, Denver County, Colorado",DENVER,Not Different Than State Average
933,08031001901,1470.81,1251.46,1690.17,630.47,627.45,633.48,"Census Tract 19.01, Denver County, Colorado",DENVER,Higher Than State Average
934,08031000905,964.19,812.16,1116.22,630.47,627.45,633.48,"Census Tract 9.05, Denver County, Colorado",DENVER,Higher Than State Average
935,08031000702,1254.44,1090.67,1418.21,630.47,627.45,633.48,"Census Tract 7.02, Denver County, Colorado",DENVER,Higher Than State Average
936,08031008389,726.07,637.05,815.09,630.47,627.45,633.48,"Census Tract 83.89, Denver County, Colorado",DENVER,Higher Than State Average
937,08031008386,965.33,827.32,1103.34,630.47,627.45,633.48,"Census Tract 83.86, Denver County, Colorado",DENVER,Higher Than State Average
938,08031015300,787.73,612.57,962.9,630.47,627.45,633.48,"Census Tract 153, Denver County, Colorado",DENVER,Not Different Than State Average
939,08031004306,416.05,340.41,491.7,630.47,627.45,633.48,"Census Tract 43.06, Denver County, Colorado",DENVER,Lower Than State Average
940,08031004107,595.3,490.58,700.02,630.47,627.45,633.48,"Census Tract 41.07, Denver County, Colorado",DENVER,Not Different Than State Average
941,08031008388,582.86,505.4,660.33,630.47,627.45,633.48,"Census Tract 83.88, Denver County, Colorado",DENVER,Not Different Than State Average
942,08031001102,561.84,409.82,713.86,630.47,627.45,633.48,"Census Tract 11.02, Denver County, Colorado",DENVER,Not Different Than State Average
943,08031000600,639.58,431.07,848.08,630.47,627.45,633.48,"Census Tract 6, Denver County, Colorado",DENVER,Not Different Than State Average
944,08031004602,729.91,627.61,832.21,630.47,627.45,633.48,"Census Tract 46.02, Denver County, Colorado",DENVER,Not Different Than State Average
945,08031001702,684.76,431.34,938.18,630.47,627.45,633.48,"Census Tract 17.02, Denver County, Colorado",DENVER,Not Different Than State Average
946,08031008387,839.69,727.54,951.84,630.47,627.45,633.48,"Census Tract 83.87, Denver County, Colorado",DENVER,Higher Than State Average
947,08031008312,1034.7,913.58,1155.82,630.47,627.45,633.48,"Census Tract 83.12, Denver County, Colorado",DENVER,Higher Than State Average
948,08031015700,1122.89,987.42,1258.36,630.47,627.45,633.48,"Census Tract 157, Denver County, Colorado",DENVER,Higher Than State Average
949,08031001902,471.1,283.93,705.13,630.47,627.45,633.48,"Census Tract 19.02, Denver County, Colorado",DENVER,Not Different Than State Average
950,08031004506,967.97,811.41,1124.53,630.47,627.45,633.48,"Census Tract 45.06, Denver County, Colorado",DENVER,Higher Than State Average
951,08031011902,761.94,667.56,856.33,630.47,627.45,633.48,"Census Tract 119.02, Denver County, Colorado",DENVER,Higher Than State Average
952,08031005200,732.27,599.4,865.15,630.47,627.45,633.48,"Census Tract 52, Denver County, Colorado",DENVER,Not Different Than State Average
953,08031002100,579.36,487.46,671.26,630.47,627.45,633.48,"Census Tract 21, Denver County, Colorado",DENVER,Not Different Than State Average
954,08031000902,676.21,576.85,775.57,630.47,627.45,633.48,"Census Tract 9.02, Denver County, Colorado",DENVER,Not Different Than State Average
955,08031000904,1289.94,1142.61,1437.28,630.47,627.45,633.48,"Census Tract 9.04, Denver County, Colorado",DENVER,Higher Than State Average
956,08031008305,1089.53,931.66,1247.41,630.47,627.45,633.48,"Census Tract 83.05, Denver County, Colorado",DENVER,Higher Than State Average
957,08031008304,1506.29,1196.39,1816.19,630.47,627.45,633.48,"Census Tract 83.04, Denver County, Colorado",DENVER,Higher Than State Average
958,08031007006,547.7,367.97,727.44,630.47,627.45,633.48,"Census Tract 70.06, Denver County, Colorado",DENVER,Not Different Than State Average
959,08031004505,758.75,629.63,887.88,630.47,627.45,633.48,"Census Tract 45.05, Denver County, Colorado",DENVER,Not Different Than State Average
960,08031004504,833.86,698.96,968.77,630.47,627.45,633.48,"Census Tract 45.04, Denver County, Colorado",DENVER,Higher Than State Average
961,08031004503,1022.97,845.76,1200.18,630.47,627.45,633.48,"Census Tract 45.03, Denver County, Colorado",DENVER,Higher Than State Average
962,08031004006,450.37,353.49,547.25,630.47,627.45,633.48,"Census Tract 40.06, Denver County, Colorado",DENVER,Lower Than State Average
963,08031003001,451.84,337.85,565.84,630.47,627.45,633.48,"Census Tract 30.01, Denver County, Colorado",DENVER,Lower Than State Average
964,08031001403,572.1,381.72,762.47,630.47,627.45,633.48,"Census Tract 14.03, Denver County, Colorado",DENVER,Not Different Than State Average
965,08031006813,838.74,701.97,975.5,630.47,627.45,633.48,"Census Tract 68.13, Denver County, Colorado",DENVER,Higher Than State Average
966,08031006814,1027.59,876.56,1178.63,630.47,627.45,633.48,"Census Tract 68.14, Denver County, Colorado",DENVER,Higher Than State Average
967,08031006811,647.26,546.74,747.78,630.47,627.45,633.48,"Census Tract 68.11, Denver County, Colorado",DENVER,Not Different Than State Average
968,08031007037,949.83,705.61,1194.06,630.47,627.45,633.48,"Census Tract 70.37, Denver County, Colorado",DENVER,Higher Than State Average
969,08031007088,759.97,611.11,908.82,630.47,627.45,633.48,"Census Tract 70.88, Denver County, Colorado",DENVER,Not Different Than State Average
970,08031007089,2043.54,1674.36,2412.71,630.47,627.45,633.48,"Census Tract 70.89, Denver County, Colorado",DENVER,Higher Than State Average
971,08005081800,1061.94,906.86,1217.01,630.47,627.45,633.48,"Census Tract 818, Arapahoe County, Colorado",ARAPAHOE,Higher Than State Average
972,08005007500,930.74,763.61,1097.87,630.47,627.45,633.48,"Census Tract 75, Arapahoe County, Colorado",ARAPAHOE,Higher Than State Average
973,08005082300,978.68,780.28,1177.08,630.47,627.45,633.48,"Census Tract 823, Arapahoe County, Colorado",ARAPAHOE,Higher Than State Average
974,08005081600,713.09,605.6,820.58,630.47,627.45,633.48,"Census Tract 816, Arapahoe County, Colorado",ARAPAHOE,Not Different Than State Average
975,08005080700,959.18,841.97,1076.39,630.47,627.45,633.48,"Census Tract 807, Arapahoe County, Colorado",ARAPAHOE,Higher Than State Average
976,08005006808,387.9,299.73,476.08,630.47,627.45,633.48,"Census Tract 68.08, Arapahoe County, Colorado",ARAPAHOE,Lower Than State Average
977,08005084600,658.3,556.01,760.59,630.47,627.45,633.48,"Census Tract 846, Arapahoe County, Colorado",ARAPAHOE,Not Different Than State Average
978,08005006711,444.44,343.81,545.08,630.47,627.45,633.48,"Census Tract 67.11, Arapahoe County, Colorado",ARAPAHOE,Lower Than State Average
979,08005006815,418.26,275.26,561.27,630.47,627.45,633.48,"Census Tract 68.15, Arapahoe County, Colorado",ARAPAHOE,Lower Than State Average
980,08005082600,1209.35,1059.24,1359.45,630.47,627.45,633.48,"Census Tract 826, Arapahoe County, Colorado",ARAPAHOE,Higher Than State Average
981,08005080200,879.88,768.23,991.53,630.47,627.45,633.48,"Census Tract 802, Arapahoe County, Colorado",ARAPAHOE,Higher Than State Average
982,08041003801,578.67,203.47,953.87,630.47,627.45,633.48,"Census Tract 38.01, El Paso County, Colorado",EL PASO,Not Different Than State Average
983,08041005111,686.81,577.56,796.07,630.47,627.45,633.48,"Census Tract 51.11, El Paso County, Colorado",EL PASO,Not Different Than State Average
984,08041007101,678.52,546.79,810.25,630.47,627.45,633.48,"Census Tract 71.01, El Paso County, Colorado",EL PASO,Not Different Than State Average
985,08041007201,308.91,254.42,363.39,630.47,627.45,633.48,"Census Tract 72.01, El Paso County, Colorado",EL PASO,Lower Than State Average
986,08041006901,566.37,450.99,681.74,630.47,627.45,633.48,"Census Tract 69.01, El Paso County, Colorado",EL PASO,Not Different Than State Average
987,08041006301,664.27,558.34,770.2,630.47,627.45,633.48,"Census Tract 63.01, El Paso County, Colorado",EL PASO,Not Different Than State Average
988,08041006302,614.31,450.76,777.85,630.47,627.45,633.48,"Census Tract 63.02, El Paso County, Colorado",EL PASO,Not Different Than State Average
989,08041005110,630.36,517.51,743.21,630.47,627.45,633.48,"Census Tract 51.10, El Paso County, Colorado",EL PASO,Not Different Than State Average
990,08041006801,540.45,410.1,670.8,630.47,627.45,633.48,"Census Tract 68.01, El Paso County, Colorado",EL PASO,Not Different Than State Average
991,08041006802,560.06,445.11,675.01,630.47,627.45,633.48,"Census Tract 68.02, El Paso County, Colorado",EL PASO,Not Different Than State Average
992,08041004601,960.38,803.97,1116.79,630.47,627.45,633.48,"Census Tract 46.01, El Paso County, Colorado",EL PASO,Higher Than State Average
993,08041004511,639.4,517.98,760.81,630.47,627.45,633.48,"Census Tract 45.11, El Paso County, Colorado",EL PASO,Not Different Than State Average
994,08041004602,644.64,524.78,764.49,630.47,627.45,633.48,"Census Tract 46.02, El Paso County, Colorado",EL PASO,Not Different Than State Average
995,08041007601,460.41,384.53,536.29,630.47,627.45,633.48,"Census Tract 76.01, El Paso County, Colorado",EL PASO,Lower Than State Average
996,08041007602,521.75,399.54,643.96,630.47,627.45,633.48,"Census Tract 76.02, El Paso County, Colorado",EL PASO,Not Different Than State Average
997,08041007202,414.29,350.48,478.1,630.47,627.45,633.48,"Census Tract 72.02, El Paso County, Colorado",EL PASO,Lower Than State Average
998,08041003802,0,0,0,630.47,627.45,633.48,"Census Tract 38.02, El Paso County, Colorado",EL PASO,Lower Than State Average
999,08041003307,508.57,393.44,623.69,630.47,627.45,633.48,"Census Tract 33.07, El Paso County, Colorado",EL PASO,Lower Than State Average
1000,08041003400,423.06,302.38,543.74,630.47,627.45,633.48,"Census Tract 34, El Paso County, Colorado",EL PASO,Lower Than State Average
1001,08041006700,411.92,339.29,484.55,630.47,627.45,633.48,"Census Tract 67, El Paso County, Colorado",EL PASO,Lower Than State Average
1002,08041003701,421.18,351.94,490.42,630.47,627.45,633.48,"Census Tract 37.01, El Paso County, Colorado",EL PASO,Lower Than State Average
1003,08041004100,1236.52,1081.03,1392.02,630.47,627.45,633.48,"Census Tract 41, El Paso County, Colorado",EL PASO,Higher Than State Average
1004,08041004200,861.6,725.25,997.94,630.47,627.45,633.48,"Census Tract 42, El Paso County, Colorado",EL PASO,Higher Than State Average
1005,08041004508,678.76,583.9,773.63,630.47,627.45,633.48,"Census Tract 45.08, El Paso County, Colorado",EL PASO,Not Different Than State Average
1006,08041004507,662.63,534.09,791.16,630.47,627.45,633.48,"Census Tract 45.07, El Paso County, Colorado",EL PASO,Not Different Than State Average
1007,08041004506,830.12,709.14,951.11,630.47,627.45,633.48,"Census Tract 45.06, El Paso County, Colorado",EL PASO,Higher Than State Average
1008,08041004300,623.45,533.15,713.75,630.47,627.45,633.48,"Census Tract 43, El Paso County, Colorado",EL PASO,Not Different Than State Average
1009,08041005000,748.27,632.05,864.49,630.47,627.45,633.48,"Census Tract 50, El Paso County, Colorado",EL PASO,Not Different Than State Average
1010,08041006200,919.47,784.52,1054.42,630.47,627.45,633.48,"Census Tract 62, El Paso County, Colorado",EL PASO,Higher Than State Average
1011,08041006100,1695.67,1417.94,1973.4,630.47,627.45,633.48,"Census Tract 61, El Paso County, Colorado",EL PASO,Higher Than State Average
1012,08041006000,948.03,843.04,1053.01,630.47,627.45,633.48,"Census Tract 60, El Paso County, Colorado",EL PASO,Higher Than State Average
1013,08041005900,903.35,787.32,1019.37,630.47,627.45,633.48,"Census Tract 59, El Paso County, Colorado",EL PASO,Higher Than State Average
1014,08041005800,652.14,526.84,777.44,630.47,627.45,633.48,"Census Tract 58, El Paso County, Colorado",EL PASO,Not Different Than State Average
1015,08041005700,700.91,604.47,797.34,630.47,627.45,633.48,"Census Tract 57, El Paso County, Colorado",EL PASO,Not Different Than State Average
1016,08041005602,626.84,497.22,756.46,630.47,627.45,633.48,"Census Tract 56.02, El Paso County, Colorado",EL PASO,Not Different Than State Average
1017,08041004703,660.4,564.3,756.49,630.47,627.45,633.48,"Census Tract 47.03, El Paso County, Colorado",EL PASO,Not Different Than State Average
1018,08041004009,1008.66,732.26,1285.06,630.47,627.45,633.48,"Census Tract 40.09, El Paso County, Colorado",EL PASO,Higher Than State Average
1019,08041005202,1358.47,1135.05,1581.88,630.47,627.45,633.48,"Census Tract 52.02, El Paso County, Colorado",EL PASO,Higher Than State Average
1020,08041003905,495,384.39,605.61,630.47,627.45,633.48,"Census Tract 39.05, El Paso County, Colorado",EL PASO,Lower Than State Average
1021,08041003706,352.33,274.94,429.71,630.47,627.45,633.48,"Census Tract 37.06, El Paso County, Colorado",EL PASO,Lower Than State Average
1022,08041003705,499.74,408.54,590.94,630.47,627.45,633.48,"Census Tract 37.05, El Paso County, Colorado",EL PASO,Lower Than State Average
1023,08041003000,759.31,648.96,869.66,630.47,627.45,633.48,"Census Tract 30, El Paso County, Colorado",EL PASO,Higher Than State Average
1024,08041003303,859.89,743.84,975.94,630.47,627.45,633.48,"Census Tract 33.03, El Paso County, Colorado",EL PASO,Higher Than State Average
1025,08041004503,618.4,523.97,712.82,630.47,627.45,633.48,"Census Tract 45.03, El Paso County, Colorado",EL PASO,Not Different Than State Average
1026,08041002900,1016.48,893.9,1139.06,630.47,627.45,633.48,"Census Tract 29, El Paso County, Colorado",EL PASO,Higher Than State Average
1027,08041002000,1132.33,1014.26,1250.4,630.47,627.45,633.48,"Census Tract 20, El Paso County, Colorado",EL PASO,Higher Than State Average
1028,08041004502,524.38,427.14,621.63,630.47,627.45,633.48,"Census Tract 45.02, El Paso County, Colorado",EL PASO,Lower Than State Average
1029,08041001900,1078.69,938.72,1218.66,630.47,627.45,633.48,"Census Tract 19, El Paso County, Colorado",EL PASO,Higher Than State Average
1030,08041001800,319.5,179.75,459.26,630.47,627.45,633.48,"Census Tract 18, El Paso County, Colorado",EL PASO,Lower Than State Average
1031,08041001700,819.42,613.17,1025.66,630.47,627.45,633.48,"Census Tract 17, El Paso County, Colorado",EL PASO,Not Different Than State Average
1032,08041001600,429.67,238.76,620.59,630.47,627.45,633.48,"Census Tract 16, El Paso County, Colorado",EL PASO,Lower Than State Average
1033,08041001500,943.64,706.81,1180.48,630.47,627.45,633.48,"Census Tract 15, El Paso County, Colorado",EL PASO,Higher Than State Average
1034,08041003906,575.27,486.46,664.07,630.47,627.45,633.48,"Census Tract 39.06, El Paso County, Colorado",EL PASO,Not Different Than State Average
1035,08041001101,948.63,707.78,1189.49,630.47,627.45,633.48,"Census Tract 11.01, El Paso County, Colorado",EL PASO,Higher Than State Average
1036,08041001000,385.71,278.21,493.22,630.47,627.45,633.48,"Census Tract 10, El Paso County, Colorado",EL PASO,Lower Than State Average
1037,08041000900,480.65,321.85,639.45,630.47,627.45,633.48,"Census Tract 9, El Paso County, Colorado",EL PASO,Not Different Than State Average
1038,08041005109,497.97,424.39,571.56,630.47,627.45,633.48,"Census Tract 51.09, El Paso County, Colorado",EL PASO,Lower Than State Average
1039,08041005105,551.11,411.6,690.61,630.47,627.45,633.48,"Census Tract 51.05, El Paso County, Colorado",EL PASO,Not Different Than State Average
1040,08041005107,677.36,557.3,797.41,630.47,627.45,633.48,"Census Tract 51.07, El Paso County, Colorado",EL PASO,Not Different Than State Average
1041,08041007102,275.95,216.66,335.25,630.47,627.45,633.48,"Census Tract 71.02, El Paso County, Colorado",EL PASO,Lower Than State Average
1042,08041004705,590.07,490.47,689.67,630.47,627.45,633.48,"Census Tract 47.05, El Paso County, Colorado",EL PASO,Not Different Than State Average
1043,08041005106,734.05,623.08,845.03,630.47,627.45,633.48,"Census Tract 51.06, El Paso County, Colorado",EL PASO,Not Different Than State Average
1044,08041004706,702.01,522.79,881.23,630.47,627.45,633.48,"Census Tract 47.06, El Paso County, Colorado",EL PASO,Not Different Than State Average
1045,08041006902,653.22,525.02,781.41,630.47,627.45,633.48,"Census Tract 69.02, El Paso County, Colorado",EL PASO,Not Different Than State Average
1046,08041004603,553.42,435.98,670.86,630.47,627.45,633.48,"Census Tract 46.03, El Paso County, Colorado",EL PASO,Not Different Than State Average
1047,08041004510,805.49,637.87,973.1,630.47,627.45,633.48,"Census Tract 45.10, El Paso County, Colorado",EL PASO,Higher Than State Average
1048,08041005108,672.37,572.64,772.1,630.47,627.45,633.48,"Census Tract 51.08, El Paso County, Colorado",EL PASO,Not Different Than State Average
1049,08041003308,479.41,384.7,574.12,630.47,627.45,633.48,"Census Tract 33.08, El Paso County, Colorado",EL PASO,Lower Than State Average
1050,08041003305,356.66,298.98,414.34,630.47,627.45,633.48,"Census Tract 33.05, El Paso County, Colorado",EL PASO,Lower Than State Average
1051,08041004401,247.36,162.52,332.21,630.47,627.45,633.48,"Census Tract 44.01, El Paso County, Colorado",EL PASO,Lower Than State Average
1052,08041004403,200.02,104.59,326.04,630.47,627.45,633.48,"Census Tract 44.03, El Paso County, Colorado",EL PASO,Lower Than State Average
1053,08041004402,169.61,124.97,221.03,630.47,627.45,633.48,"Census Tract 44.02, El Paso County, Colorado",EL PASO,Lower Than State Average
1054,08041003306,647.79,505.01,790.57,630.47,627.45,633.48,"Census Tract 33.06, El Paso County, Colorado",EL PASO,Not Different Than State Average
1055,08041005104,726.79,588.35,865.23,630.47,627.45,633.48,"Census Tract 51.04, El Paso County, Colorado",EL PASO,Not Different Than State Average
1056,08041005502,963.61,745.74,1181.49,630.47,627.45,633.48,"Census Tract 55.02, El Paso County, Colorado",EL PASO,Higher Than State Average
1057,08041004702,469.23,332.99,605.47,630.47,627.45,633.48,"Census Tract 47.02, El Paso County, Colorado",EL PASO,Lower Than State Average
1058,08041000101,688.17,588.77,787.57,630.47,627.45,633.48,"Census Tract 1.01, El Paso County, Colorado",EL PASO,Not Different Than State Average
1059,08041008000,918.85,756.42,1081.27,630.47,627.45,633.48,"Census Tract 80, El Paso County, Colorado",EL PASO,Higher Than State Average
1060,08041003709,505.58,422.9,588.27,630.47,627.45,633.48,"Census Tract 37.09, El Paso County, Colorado",EL PASO,Lower Than State Average
1061,08041007400,260.78,196.57,324.99,630.47,627.45,633.48,"Census Tract 74, El Paso County, Colorado",EL PASO,Lower Than State Average
1062,08041003707,376.94,281.31,472.57,630.47,627.45,633.48,"Census Tract 37.07, El Paso County, Colorado",EL PASO,Lower Than State Average
1063,08041003708,322.71,232.4,413.02,630.47,627.45,633.48,"Census Tract 37.08, El Paso County, Colorado",EL PASO,Lower Than State Average
1064,08041006502,895.51,760.22,1030.81,630.47,627.45,633.48,"Census Tract 65.02, El Paso County, Colorado",EL PASO,Higher Than State Average
1065,08041006600,841.14,653.37,1028.91,630.47,627.45,633.48,"Census Tract 66, El Paso County, Colorado",EL PASO,Higher Than State Average
1066,08041006501,929.49,778.93,1080.05,630.47,627.45,633.48,"Census Tract 65.01, El Paso County, Colorado",EL PASO,Higher Than State Average
1067,08041006400,1006.56,884.05,1129.07,630.47,627.45,633.48,"Census Tract 64, El Paso County, Colorado",EL PASO,Higher Than State Average
1068,08041005601,505.3,411.57,599.04,630.47,627.45,633.48,"Census Tract 56.01, El Paso County, Colorado",EL PASO,Lower Than State Average
1069,08041005400,1200,1044.18,1355.82,630.47,627.45,633.48,"Census Tract 54, El Paso County, Colorado",EL PASO,Higher Than State Average
1070,08041005300,1071.61,926.3,1216.93,630.47,627.45,633.48,"Census Tract 53, El Paso County, Colorado",EL PASO,Higher Than State Average
1071,08041005201,1360.28,1178.19,1542.38,630.47,627.45,633.48,"Census Tract 52.01, El Paso County, Colorado",EL PASO,Higher Than State Average
1072,08041004800,592.46,494.73,690.2,630.47,627.45,633.48,"Census Tract 48, El Paso County, Colorado",EL PASO,Not Different Than State Average
1073,08041002700,1113.94,945.28,1282.59,630.47,627.45,633.48,"Census Tract 27, El Paso County, Colorado",EL PASO,Higher Than State Average
1074,08041002501,370.33,278.97,461.69,630.47,627.45,633.48,"Census Tract 25.01, El Paso County, Colorado",EL PASO,Lower Than State Average
1075,08041002502,611.64,505.29,718,630.47,627.45,633.48,"Census Tract 25.02, El Paso County, Colorado",EL PASO,Not Different Than State Average
1076,08041002400,893.71,780.26,1007.16,630.47,627.45,633.48,"Census Tract 24, El Paso County, Colorado",EL PASO,Higher Than State Average
1077,08041002200,1509.67,1287.01,1732.33,630.47,627.45,633.48,"Census Tract 22, El Paso County, Colorado",EL PASO,Higher Than State Average
1078,08041002102,1260.11,1102.96,1417.26,630.47,627.45,633.48,"Census Tract 21.02, El Paso County, Colorado",EL PASO,Higher Than State Average
1079,08041003100,289.55,217.62,361.49,630.47,627.45,633.48,"Census Tract 31, El Paso County, Colorado",EL PASO,Lower Than State Average
1080,08041002101,1224.4,1058.85,1389.95,630.47,627.45,633.48,"Census Tract 21.01, El Paso County, Colorado",EL PASO,Higher Than State Average
1081,08041001400,778.74,645.26,912.21,630.47,627.45,633.48,"Census Tract 14, El Paso County, Colorado",EL PASO,Higher Than State Average
1082,08041001302,708.65,598.45,818.85,630.47,627.45,633.48,"Census Tract 13.02, El Paso County, Colorado",EL PASO,Not Different Than State Average
1083,08041001104,567.46,454.75,680.16,630.47,627.45,633.48,"Census Tract 11.04, El Paso County, Colorado",EL PASO,Not Different Than State Average
1084,08041000800,774.23,622.55,925.92,630.47,627.45,633.48,"Census Tract 8, El Paso County, Colorado",EL PASO,Not Different Than State Average
1085,08041000700,972.45,816.72,1128.18,630.47,627.45,633.48,"Census Tract 7, El Paso County, Colorado",EL PASO,Higher Than State Average
1086,08041000600,902.25,746.19,1058.31,630.47,627.45,633.48,"Census Tract 6, El Paso County, Colorado",EL PASO,Higher Than State Average
1087,08041000500,709.02,543.81,874.23,630.47,627.45,633.48,"Census Tract 5, El Paso County, Colorado",EL PASO,Not Different Than State Average
1088,08041000400,945.81,753.26,1138.37,630.47,627.45,633.48,"Census Tract 4, El Paso County, Colorado",EL PASO,Higher Than State Average
1089,08041007800,503,400.13,605.86,630.47,627.45,633.48,"Census Tract 78, El Paso County, Colorado",EL PASO,Lower Than State Average
1090,08041000302,1085.05,946.68,1223.43,630.47,627.45,633.48,"Census Tract 3.02, El Paso County, Colorado",EL PASO,Higher Than State Average
1091,08041007700,560.97,456.96,664.98,630.47,627.45,633.48,"Census Tract 77, El Paso County, Colorado",EL PASO,Not Different Than State Average
1092,08005083500,767.84,660.28,875.41,630.47,627.45,633.48,"Census Tract 835, Arapahoe County, Colorado",ARAPAHOE,Higher Than State Average
1093,08005082800,795.42,675.28,915.55,630.47,627.45,633.48,"Census Tract 828, Arapahoe County, Colorado",ARAPAHOE,Higher Than State Average
1094,08005082400,711.22,595.65,826.79,630.47,627.45,633.48,"Census Tract 824, Arapahoe County, Colorado",ARAPAHOE,Not Different Than State Average
1095,08005005630,620.59,510.32,730.85,630.47,627.45,633.48,"Census Tract 56.30, Arapahoe County, Colorado",ARAPAHOE,Not Different Than State Average
1096,08005005631,577.92,452.2,703.65,630.47,627.45,633.48,"Census Tract 56.31, Arapahoe County, Colorado",ARAPAHOE,Not Different Than State Average
1097,08005005628,535.52,452.57,618.48,630.47,627.45,633.48,"Census Tract 56.28, Arapahoe County, Colorado",ARAPAHOE,Lower Than State Average
1098,08005005632,539.94,422.72,657.16,630.47,627.45,633.48,"Census Tract 56.32, Arapahoe County, Colorado",ARAPAHOE,Not Different Than State Average
1099,08005005629,462.39,265.27,659.5,630.47,627.45,633.48,"Census Tract 56.29, Arapahoe County, Colorado",ARAPAHOE,Not Different Than State Average
1100,08005084400,689.84,536.77,842.9,630.47,627.45,633.48,"Census Tract 844, Arapahoe County, Colorado",ARAPAHOE,Not Different Than State Average
1101,08055960900,239.46,146.87,332.05,630.47,627.45,633.48,"Census Tract 9609, Huerfano County, Colorado",HUERFANO,Lower Than State Average
1102,08055960600,507.89,381.98,633.79,630.47,627.45,633.48,"Census Tract 9606, Huerfano County, Colorado",HUERFANO,Not Different Than State Average
1103,08005005624,555.34,410.61,700.08,630.47,627.45,633.48,"Census Tract 56.24, Arapahoe County, Colorado",ARAPAHOE,Not Different Than State Average
1104,08005005627,465.04,373.21,556.86,630.47,627.45,633.48,"Census Tract 56.27, Arapahoe County, Colorado",ARAPAHOE,Lower Than State Average
1105,08005005614,636.17,509.19,763.16,630.47,627.45,633.48,"Census Tract 56.14, Arapahoe County, Colorado",ARAPAHOE,Not Different Than State Average
1106,08005006707,476.27,387.57,564.97,630.47,627.45,633.48,"Census Tract 67.07, Arapahoe County, Colorado",ARAPAHOE,Lower Than State Average
1107,08005006708,430.83,325.86,535.8,630.47,627.45,633.48,"Census Tract 67.08, Arapahoe County, Colorado",ARAPAHOE,Lower Than State Average
1108,08005006604,753.67,632.62,874.72,630.47,627.45,633.48,"Census Tract 66.04, Arapahoe County, Colorado",ARAPAHOE,Not Different Than State Average
1109,08005006603,806.65,676.11,937.19,630.47,627.45,633.48,"Census Tract 66.03, Arapahoe County, Colorado",ARAPAHOE,Higher Than State Average
1110,08005006705,249.22,142.42,356.01,630.47,627.45,633.48,"Census Tract 67.05, Arapahoe County, Colorado",ARAPAHOE,Lower Than State Average
1111,08005006601,1000.82,876.88,1124.75,630.47,627.45,633.48,"Census Tract 66.01, Arapahoe County, Colorado",ARAPAHOE,Higher Than State Average
1112,08005005621,523.17,410.23,636.11,630.47,627.45,633.48,"Census Tract 56.21, Arapahoe County, Colorado",ARAPAHOE,Not Different Than State Average
1113,08005005625,718.82,580.02,857.62,630.47,627.45,633.48,"Census Tract 56.25, Arapahoe County, Colorado",ARAPAHOE,Not Different Than State Average
1114,08005006704,349.74,221.98,477.49,630.47,627.45,633.48,"Census Tract 67.04, Arapahoe County, Colorado",ARAPAHOE,Lower Than State Average
1115,08005005620,629.39,464.55,794.24,630.47,627.45,633.48,"Census Tract 56.20, Arapahoe County, Colorado",ARAPAHOE,Not Different Than State Average
