OBJECTID,TRACT_FIPS,ASTHMA_ADJRATE,ASTHMA_L95CI,ASTHMA_U95CI,ASTHMA_STATEADJRATE,ASTHMA_SL95CI,ASTHMA_SU95CI,TRACT_NAME,COUNTY_NAME,ASTHMA_DISPLAY
766,08101002808,445.42,344.3,546.53,630.47,627.45,633.48,"Census Tract 28.08, Pueblo County, Colorado",PUEBLO,Lower Than State Average
767,08101001500,793.52,606.7,980.34,630.47,627.45,633.48,"Census Tract 15, Pueblo County, Colorado",PUEBLO,Not Different Than State Average
768,08101000100,989.45,818.51,1160.38,630.47,627.45,633.48,"Census Tract 1, Pueblo County, Colorado",PUEBLO,Higher Than State Average
769,08035014006,525.65,427.25,624.05,630.47,627.45,633.48,"Census Tract 140.06, Douglas County, Colorado",DOUGLAS,Lower Than State Average
770,08035013910,497.94,395.21,600.67,630.47,627.45,633.48,"Census Tract 139.10, Douglas County, Colorado",DOUGLAS,Lower Than State Average
771,08035014140,596.56,448.17,744.95,630.47,627.45,633.48,"Census Tract 141.40, Douglas County, Colorado",DOUGLAS,Not Different Than State Average
772,08035014132,341.24,260.33,422.15,630.47,627.45,633.48,"Census Tract 141.32, Douglas County, Colorado",DOUGLAS,Lower Than State Average
773,08035014130,510.8,394.49,627.11,630.47,627.45,633.48,"Census Tract 141.30, Douglas County, Colorado",DOUGLAS,Lower Than State Average
774,08035014124,635.81,509.22,762.4,630.47,627.45,633.48,"Census Tract 141.24, Douglas County, Colorado",DOUGLAS,Not Different Than State Average
775,08035014405,626.28,505.47,747.09,630.47,627.45,633.48,"Census Tract 144.05, Douglas County, Colorado",DOUGLAS,Not Different Than State Average
776,08035014505,499.92,407.25,592.59,630.47,627.45,633.48,"Census Tract 145.05, Douglas County, Colorado",DOUGLAS,Lower Than State Average
777,08035014603,634.38,515.79,752.97,630.47,627.45,633.48,"Census Tract 146.03, Douglas County, Colorado",DOUGLAS,Not Different Than State Average
778,08035014403,569.55,470.69,668.4,630.47,627.45,633.48,"Census Tract 144.03, Douglas County, Colorado",DOUGLAS,Not Different Than State Average
779,08035014404,463.05,327.23,598.87,630.47,627.45,633.48,"Census Tract 144.04, Douglas County, Colorado",DOUGLAS,Lower Than State Average
780,08035014128,550.48,416.45,684.51,630.47,627.45,633.48,"Census Tract 141.28, Douglas County, Colorado",DOUGLAS,Not Different Than State Average
781,08035014129,381.75,275.02,488.49,630.47,627.45,633.48,"Census Tract 141.29, Douglas County, Colorado",DOUGLAS,Lower Than State Average
782,08035014134,487.38,390.76,583.99,630.47,627.45,633.48,"Census Tract 141.34, Douglas County, Colorado",DOUGLAS,Lower Than State Average
783,08035014136,471.04,384.02,558.07,630.47,627.45,633.48,"Census Tract 141.36, Douglas County, Colorado",DOUGLAS,Lower Than State Average
784,08035014138,403.1,305.94,500.25,630.47,627.45,633.48,"Census Tract 141.38, Douglas County, Colorado",DOUGLAS,Lower Than State Average
785,08035014139,474.97,380.75,569.19,630.47,627.45,633.48,"Census Tract 141.39, Douglas County, Colorado",DOUGLAS,Lower Than State Average
786,08035014126,399.61,268.96,530.27,630.47,627.45,633.48,"Census Tract 141.26, Douglas County, Colorado",DOUGLAS,Lower Than State Average
787,08035014203,573.68,470.66,676.7,630.47,627.45,633.48,"Census Tract 142.03, Douglas County, Colorado",DOUGLAS,Not Different Than State Average
788,08035014406,532.58,463.08,602.09,630.47,627.45,633.48,"Census Tract 144.06, Douglas County, Colorado",DOUGLAS,Lower Than State Average
789,08035014133,483.59,364.62,602.56,630.47,627.45,633.48,"Census Tract 141.33, Douglas County, Colorado",DOUGLAS,Lower Than State Average
790,08035014204,760.81,554.06,967.56,630.47,627.45,633.48,"Census Tract 142.04, Douglas County, Colorado",DOUGLAS,Not Different Than State Average
791,08035014135,273.09,167.39,378.79,630.47,627.45,633.48,"Census Tract 141.35, Douglas County, Colorado",DOUGLAS,Lower Than State Average
792,08035014131,554.9,461.78,648.02,630.47,627.45,633.48,"Census Tract 141.31, Douglas County, Colorado",DOUGLAS,Not Different Than State Average
793,08035014137,436.61,350.76,522.45,630.47,627.45,633.48,"Census Tract 141.37, Douglas County, Colorado",DOUGLAS,Lower Than State Average
794,08035014127,426.39,334.73,518.05,630.47,627.45,633.48,"Census Tract 141.27, Douglas County, Colorado",DOUGLAS,Lower Than State Average
795,08035014125,456.18,348.06,564.3,630.47,627.45,633.48,"Census Tract 141.25, Douglas County, Colorado",DOUGLAS,Lower Than State Average
796,08035014005,374.85,272.7,477,630.47,627.45,633.48,"Census Tract 140.05, Douglas County, Colorado",DOUGLAS,Lower Than State Average
797,08035014007,754.9,573.05,936.74,630.47,627.45,633.48,"Census Tract 140.07, Douglas County, Colorado",DOUGLAS,Not Different Than State Average
798,08035014011,407.19,299.93,514.45,630.47,627.45,633.48,"Census Tract 140.11, Douglas County, Colorado",DOUGLAS,Lower Than State Average
799,08035014506,459.89,346.47,573.3,630.47,627.45,633.48,"Census Tract 145.06, Douglas County, Colorado",DOUGLAS,Lower Than State Average
800,08035014604,633.89,501.59,766.18,630.47,627.45,633.48,"Census Tract 146.04, Douglas County, Colorado",DOUGLAS,Not Different Than State Average
801,08035014013,570.02,419.79,720.25,630.47,627.45,633.48,"Census Tract 140.13, Douglas County, Colorado",DOUGLAS,Not Different Than State Average
802,08035014012,455,359.28,550.72,630.47,627.45,633.48,"Census Tract 140.12, Douglas County, Colorado",DOUGLAS,Lower Than State Average
803,08035014008,440.49,348.37,532.6,630.47,627.45,633.48,"Census Tract 140.08, Douglas County, Colorado",DOUGLAS,Lower Than State Average
804,08035014009,482.82,350.85,614.79,630.47,627.45,633.48,"Census Tract 140.09, Douglas County, Colorado",DOUGLAS,Lower Than State Average
805,08035014010,539.88,444.11,635.64,630.47,627.45,633.48,"Census Tract 140.10, Douglas County, Colorado",DOUGLAS,Not Different Than State Average
806,08035013911,525.57,400.25,650.89,630.47,627.45,633.48,"Census Tract 139.11, Douglas County, Colorado",DOUGLAS,Not Different Than State Average
807,08035014123,727.27,577.67,876.88,630.47,627.45,633.48,"Census Tract 141.23, Douglas County, Colorado",DOUGLAS,Not Different Than State Average
808,08035014504,846.64,724.42,968.87,630.47,627.45,633.48,"Census Tract 145.04, Douglas County, Colorado",DOUGLAS,Higher Than State Average
809,08035013908,530.95,436.01,625.89,630.47,627.45,633.48,"Census Tract 139.08, Douglas County, Colorado",DOUGLAS,Lower Than State Average
810,08035013907,696.96,569.97,823.95,630.47,627.45,633.48,"Census Tract 139.07, Douglas County, Colorado",DOUGLAS,Not Different Than State Average
811,08035013905,1168.39,910.22,1426.56,630.47,627.45,633.48,"Census Tract 139.05, Douglas County, Colorado",DOUGLAS,Higher Than State Average
812,08035013904,850.88,675.79,1025.96,630.47,627.45,633.48,"Census Tract 139.04, Douglas County, Colorado",DOUGLAS,Higher Than State Average
813,08035014001,559.17,459.68,658.66,630.47,627.45,633.48,"Census Tract 140.01, Douglas County, Colorado",DOUGLAS,Not Different Than State Average
814,08035014115,435.3,309,561.6,630.47,627.45,633.48,"Census Tract 141.15, Douglas County, Colorado",DOUGLAS,Lower Than State Average
815,08035014114,898.21,701.41,1095.01,630.47,627.45,633.48,"Census Tract 141.14, Douglas County, Colorado",DOUGLAS,Higher Than State Average
